vizType,participantID,trialNumber,truePercent,reportedPercent,Error
Bar,_aag21ljue,1,65,60,2.357552005
Bar,_aag21ljue,2,86,85,0.169925001
Stacked Bar,_aag21ljue,3,74,65,3.189824559
Pie,_aag21ljue,4,37,35,1.087462841
Pie,_aag21ljue,5,100,90,3.339850003
Stacked Bar,_aag21ljue,6,84,65,4.257387843
Bar,_gghxa2r5t,1,57,65,3.022367813
Pie,_gghxa2r5t,2,56,50,2.614709844
Stacked Bar,_gghxa2r5t,3,73,65,3.022367813
Bar,_gghxa2r5t,4,92,95,1.64385619
Stacked Bar,_gghxa2r5t,5,80,70,3.339850003
Pie,_gghxa2r5t,6,67,70,1.64385619
Bar,_7hvjis5dh,1,93,95,1.087462841
Bar,_7hvjis5dh,2,91,95,2.044394119
Pie,_7hvjis5dh,3,67,80,3.714245518
Pie,_7hvjis5dh,4,57,60,1.64385619
Stacked Bar,_7hvjis5dh,5,80,70,3.339850003
Stacked Bar,_7hvjis5dh,6,94,75,4.257387843
Stacked Bar,_bhilhh76y,1,88,80,3.022367813
Bar,_bhilhh76y,2,59,60,0.169925001
Pie,_bhilhh76y,3,80,75,2.357552005
Stacked Bar,_bhilhh76y,4,98,100,1.087462841
Bar,_bhilhh76y,5,99,95,2.044394119
Pie,_bhilhh76y,6,38,33,2.357552005
Bar,_0ulojgloc,1,77,75,1.087462841
Pie,_0ulojgloc,2,33,29,2.044394119
Stacked Bar,_0ulojgloc,3,97,95,1.087462841
Pie,_0ulojgloc,4,100,99,0.169925001
Stacked Bar,_0ulojgloc,5,77,80,1.64385619
Bar,_0ulojgloc,6,88,88,-3
Stacked Bar,_dorg2t701,1,89,60,4.864186145
Pie,_dorg2t701,2,60,46,3.820178962
Pie,_dorg2t701,3,50,45,2.357552005
Stacked Bar,_dorg2t701,4,83,82,0.169925001
Bar,_dorg2t701,5,62,60,1.087462841
Bar,_dorg2t701,6,98,97,0.169925001
Pie,_t0tnma8n4,1,89,85,2.044394119
Stacked Bar,_t0tnma8n4,2,98,100,1.087462841
Bar,_t0tnma8n4,3,68,75,2.832890014
Bar,_t0tnma8n4,4,80,75,2.357552005
Stacked Bar,_t0tnma8n4,5,80,50,4.912889336
Pie,_t0tnma8n4,6,67,45,4.46760555
Stacked Bar,_l5ksj3885,1,90,80,3.339850003
Bar,_l5ksj3885,2,71,70,0.169925001
Pie,_l5ksj3885,3,50,85,5.13442632
Bar,_l5ksj3885,4,71,80,3.189824559
Pie,_l5ksj3885,5,56,70,3.820178962
Stacked Bar,_l5ksj3885,6,97,90,2.832890014
